ID,claim,evidence
162,"['bernie sanders did not vote for the crime bill""', 'a year ago most district of columbia pundits would have betthe 2016 general election would pit hillary versus jebdemocrats could not win by making the campaign about whether voters wanted to give bill or w. the bushes are now long gone""', 'the democratic primaries turned out to be more competitive than anticipated it is been hard for the clintons to lean on nostalgia for the 1990s""', 'a major pivot in the campaigns messaging is on the way""', 'securing the democratic nomination this time would depend on running up the score among minority voters the clintons set out in the spring of 2015 to inoculate themselves from criticism over the crime bill""', 'regretted sending minor criminals to prison for way too long""', 'trump could not be losing his core base in the south a region where trump has decisively won many primary contests""', 'smart frame over the strategist vs. the showman cruz and trump run very different campaigns by katie zezima cruz is the disciplined strategist who stays relentlessly on message and runs atrump by contrast runs what amounts to a diy presidential campaign""', 'approach has left trump with little established infrastructure as the race turns into a brawl for delegates it has also allowed him to be nimble... cruzs advance work will be onleave it up to party members to elect the states 37 delegates to the national convention""', 'local convention appears to be fertile ground for trumpcampaign is counting on a superior advantage with party insiders both in virginia and around the country to get its preferred delegates elected""', 'former supporters of arnold schwarzenegger prefer trump voters who backed his gubernatorial bid in the recall prefer trump over cruz by a three to one margin""', 'trump has more than math to worry about in cleveland by politicos kyle cheney every aspect of the republican national convention is a potential tripwire that motivated anti trump forces could not deploy to waylay the mogul""', 'more on the democratic race there is widespreadthe clinton sanders rivalry is doing lasting damage to the party and the eventual nominee""', 'fundamentally disrupt the race to have any chance of ultimately prevailing""', 'barring a major cataclysm in the race clinton will be the nominee writes chris cillizza""', 'has strictly honorary roles with the mccain institute for international leadership a program at arizona state university and its fundraising arm the mccain institute foundation according to his office""']","['speaking in an overwhelmingly african american neighborhood of philadelphia the city that will host this summers democratic national convention the former president offered a spirited defense of his record on civil rights his signature crime bill and his wife.', 'one of the protesters held a sign that declared black youth are not super predators.', 'thats a reference to when hillary clinton spoke in 1996 of the kinds of kids that are called super predators and said we have to bring them to heel.', 'i don t know how you would characterize the gang leaders who got 13 year olds hopped up on crack and senator them out onto the street to murder other african american children.', 'maybe you thought they were good citizens.', 'you are defending the people who caused young people to go out and take guns.', 'the 69 year old went on an extended riff about why he and his wife are the ones who have really fought to make black lives matter because of that bill we had a 25 year low in crime a 30 year low in the murder rate and because of that and the background check law a 46 year low in deaths of lives by gun violence he said.', 'and who do you think those lives were that mattered ?', 'whose lives were saved that mattered ?', 'she was spending her time trying to get health care for poor kids he said.', 'in a year when the drama has mostly been on the republican side it made for great political theater.', 'in may 1992 the hip hop artist suggested that killing white cops might not be so bad in the wake of the los angeles riots.', 'if you took the words white and black and reversed them you might think david duke was giving that speech he said.', 'republicans and liberal activists inclined to dislike wjc called it evidence of him being out of touch and over the hill while clinton loyalists said it was the big dog at his best.', 'we overshot the march bill wrote in the foreword to a book on mass incarceration that came out exactly one year ago.', 'i signed a bill that made the problem worse and i want to admit it he said.', 'he said then senator joe biden told him it could not not pass if the tough on crime provisions were not added in.', 'looking back i shouldn t have used those words and i wouldn t use them today she said in a statement.', 'but bills strategy is not without risk.', 'hillary needs high african american turnout to beat bernie in new york on april 19 and in the pennsylvania and maryland primaries on april 26.', 'while you were sleeping bernie sanders is going to speak at the vatican next week john wagner scoops.', 'sanders turned his stump speech into comedy on the late show with seth meyers the vermont senator offered a comedic twist on his disdain for the billionaire class roasting the one percenters alongside meyers on a segment called ya bernt.', 'if i didn t know any better i d think you were trying to compensate for something.', 'as for the big banks sanders had this to say my advice is the same advice i give to a couple contemplating an open relationship.', 'john hickenlooper who could not be a contender in the veepstakes hosted hillary for a fundraiser at his home in denver last night.', 'a white noise machine was set up to prevent reporters standing across the street from hearing hillarys comments in the governors back yard according to the local cbs affiliate.', 'seven in 10 americans now view trump unfavorably according to an ap gfk poll.', 'and among white voters without a college education 55 percent have a negative opinion.', 'that ain t gon na happen the texas senator said on cnn last night.', 'and if the washington lobbyists want to see that happen they can hold their breath a long long time.', 'less than two months after the curtain went down on oscarssowhite at least until 2017 it seems that american idol may be too white as well.', 'this was the consensus on social media after trent harmon a self described white dude from mississippi defeated la porsha renae a black single mother from the same state.', 'trump shakes up campaign after getting caught flat footed in delegate hunt trump announced yesterday that he is reorganizing his campaign giving an expanded role to veteran strategist paul j. from karen tumulty and dan balz manafort who joined the trump operation on march 29 as its convention manager will now have broader responsibilities and will oversee manage and be responsible for all activities that pertain to mister trumps delegate process and the cleveland convention the campaign said in its announcement.', 'while the campaign insisted there had been no reduction in the role of embattled campaign manager corey lewandowski it was nonetheless seen that way in republican circles.', 'manaforts new portfolio is the operation that could not be most crucial to trumps success in the coming months.', 'organizers said much of the work has been done with little input from cruz.', 'political watchers say these types of party insiders who take the time to register for and attend regional party meetings are more likely to back cruz.', 'the cruz people understand the game a little bit better.', 'trump leads cruz by 7 points in california according to the field poll.', 'the front runner has 39 percent with cruz at 32 percent and kasich at 18 percent.', 'trump leads in the bay area and in the southern california region outside of los angeles.', 'five tactics cruz could not use to try denying trump the nomination.', 'when asked on cnn if lewandowski should be running the show after being charged with battery he responded that a lot of people have been charged with various things... you ve probably been charged with things.', 'jeff sessions trumps only supporter in the senate said he does not think trump will pick him as vp.', 'i think that would not happen he said.', 'don t bet any money on me.', 'he quipped i can make fun of new york.', 'with both candidates launching 10 day sprints ahead of new yorks april 19 primary the strain and resentment of a hard fought and unexpectedly long contest boiled over repeatedly in interviews speeches and other public appearances john wagner abby phillip and anne gearan report.', 'the senator from vermont refused to retract his assertion that clinton is not qualified to be president.', 'clinton dismissed that claim as silly and countered that sanders has repeatedly made promises he can t keep.', 'sanders continued to blame clinton for going on the attack and said he has simply been defending himself.', 'and while he expressed regret for the tenor of the campaign over the previous 24 hours and said the acrimony will make it harder for democrats to unite in the fall he also said he does not regret his own statements.', 'traveling with obama on air force one white house spokesman eric schultz said obama believes that clinton comes to the race with more experience than any non vice president in recent campaign history.', 'schultz emphasized that obama feels fortunate that clinton whom he defeated in a sometimes nasty battle for the 2008 nomination served as his secretary of state.', 'in an interview with the posts john wagner sanders stood by his view that clinton is not qualified but he also pledged to support her if she is the nominee.', 'three highlights congressional democrats expressed hope that the dust up over whether hillary is qualified serves as a warning for both candidates to tone things down and keep the party more cohesive than the republicans.', 'it is really important that everybody take a pause that everybody calm down said north dakota senator heidi heitkamp.', 'at this point in campaigns people get tired say things they don t mean to emotions get raw.', 'i think a lot of this will dissipate with a couple good nights sleep.', 'why is bernie throwing the kitchen sink right now ?', 'the math is close to determinative and not in his favor.', 'juliet eilperin and mike debonis in a carefully orchestrated question and answer session with students and faculty including several of garlands family members the president said failure to confirm his court nominee would make the courts just an extension of our... elections and our politics.', 'obama said thats just not how i ve approached it at no point did i say oh you know what ?', 'minority whip richard durbin said democrats are actively considering legislative maneuvers to push a vote on garland.', 'a democratic leadership aide said that is being considered as a last resort one that would not be deployed for months.', 'lindsey graham said he will meet with garland reversing course on his earlier pledge not to.', 'spokesman kevin bishop said it was a courtesy meeting and the south carolina senator remains opposed to moving forward with the nomination.', 'senator told a teacher you do not know better than the parents by jenna portnoy senator richard h. black doesn t think of himself as squeamish.', 'but the northern virginia republican said he was so stunned by the moral sewage in... toni morrisons beloved that he did something he professes to never have done.', 'it is ridiculous that you are trying to control education when you have no idea what it entails she wrote.', 'you do not want free thinkers.', 'i want teachers who won t teach such vile things he responded.', 'you do not know better than the parents.', 'senator richard burr did not look too happy wearing villanova gear check out the scrum surrounding clinton as she entered the nyc subway kasich ate his way through the bronx sanders ran into this character at temple university clinton allies including the head of the lead super pac supporting her accused sanders of sexism the clinton campaign rapid response team noted that sanders thought she was qualified enough to become secretary of state some in upstate new york were not so happy to have cruz two pictures of obama back when he was a law professor district of columbia police chief cathy lanier threw the first pitch at the nats home opener internet trolls from the fever swamps of the far right and the far left can be so disgusting and nasty but this may take the cake bloomberg mccain linked nonprofit received 1 dollars million from saudi arabia by bill allison a nonprofit with ties to senator john mccain received a 1 dollars million donation from the government of saudi arabia in 2014 according to documents filed with the.', 'though federal law strictly bans foreign contributions to electoral campaigns the restriction doesn t apply to nonprofits engaged in policy even those connected to a sitting lawmaker... the saudi donation to the mccain institute foundation may be the first congressional instance of that trend coming to light the extent of this practice is difficult to gauge of course holman said because we only know about it when a nonprofit or foreign government voluntarily reveals that information.', 'news you can use if you live in district of columbia a mild start to a chilly weekend.', 'we may even see a few snowflakes but snow of note on saturday is more of a long shot than sure thing.', 'hang on to your hats... the golden state warriors beat the san antonio spurs 112 101 to reach 70 wins.', 'district of columbia police are finally cracking down on illegal dirt bike riders saying swarms of off road bikes on the citys streets have become a dangerous public menace.', 'terry mcauliffe abruptly withdrew support for his once touted economic development strategy after the democratic attorney general said the 35 dollars million go virginia program probably violates the state constitution.', 'donna edwards raised more than 1 dollars million in the first quarter for her senate campaign after struggling to get money last year.', 'montgomery county police charged two men with kidnapping and sexually assaulting a 12 year old girl in march.', 'two students a chaperone and a police officer were injured after a police cruiser and school bus crashed in springfield.', 'watch a dramatic video of a knife wielding man shouting kill me !', 'at an ohio police officer more than 40 times after he was shot in the abdomen.', 'the hero cop shows incredible restraint in the face of danger political hip hop duo rebel diaz confronted cruz saying hes not welcome in the neighborhood clinton began running her first new york spanish language tv ad kasich supporters targeted cruz and his derision for new york values in this new spot the washington examiners david freddoso explained with post it notes why he doesn t see trump winning in a general election a woman secretly recorded what her doctors said during surgery a 12 year old talked about getting thrown down by a school officer this stuffed animal was filmed making a trip to the earths stratosphere.']"
163,[],"['we are change this graphic courtesy of the atlantic highlights the disparity in flight hour costs for various aircraft in the us fleet.', 'officials say a mechanical failure is believed to have caused the release of six training bombs and a training missile from a military plane over michigans northern lower peninsula.', 'no one was injured due to the release which wwtv and wpbn report happened october 25 over oscoda county.', 'the training weapons were on a plane heading to camp grayling from selfridge air national guard base in suburban detroit when they fell off.', 'the guard says the missile was non explosive and the six training bombs can release smoke so that pilots can see where they land.', 'in a bizarre end to a military exercise that ended with training bombs accidentally falling from the sky as a group of fighter jets heading to camp grayling from selfridge were forced to turn around when they realized a rack of training munitions on one had reportedly accidently fell off.', 'the michigan national guard says the bombs and missile were found near luzerne.', 'com/story/33576... http / / local10.com / news/training weapons inadvertently fall from plane in michigan follow we are change on social media snapchat lukewearechange fbook twitter i nstagram http / /.', '/ lukewearechange sign up become a patron and show your support for alternative news for just 1 a month you can help grow we are change we use bitcoin too !', '12hdlgeeua87t2ju8m4tbro247yj5u2tvp join and up vote our steemit the post fighter jets drop training bombs on northern michigan appeared first on we are change.']"
164,"['the journalists have to surrender their reportorial independence by agreeing to only speak with sources approved by their agency""']","[""home ' health | media ' fda found manipulating the media in favor of big pharma fda found manipulating the media in favor of big pharma 0 shares although the federal drug administration is thought to serve american consumers by keeping them safe and well informed they are doing just the opposite by controlling the media and science press in order to create misleading and one sided articles."", 'an investigation into documents released through the freedom of information act by scientific american revealed that the fda uses a variety of tactics to prevent the full truth from being revealed about a certain product.', 'when npr reporter rob stein was extended one of these loaded invitations he responded by saying my editors are uncomfortable with the condition that we can not seek reaction and asked that they be given a bit more wiggle room to speak with others.', 'when stein was met with a resounding no he decided to agree to the terms and attend the briefing.', 'the new york times former public editor margaret sullivan said i think embargoes that attempt to control sourcing are dangerous because they limit the role of the reporter whose job is to do a full look at a subject.']"
165,[],"['kasich who sees the april 26 primary in maryland as a way to increase his delegate total argued that neither of his rivals could not win the presidency because of their negativity.', 'if you don t have ideas you got nothing and frankly my republican party doesn t like ideas kasich said.', 'we had kemp he was an idea guy.', 'i m gon na kill the commerce department kasich said.', 'i don t know why you don t have an education department tied to the labor department.', 'kasich derided the idea of a carbon tax i m not big on tax increases and when challenged on the math behind his tax cut plan which many analysts say would increase deficits he mocked the pretenses of experts.', 'when there is certainty both on the regulatory side on the tax side and on the spending side you basically get economic growth.', 'and look if we find out that we are getting off the path then we ll have to adjust.', 'tuesdays result in new york came close to slamming the same door on senator ted cruz something the senator addressed in an impromptu news conference wednesday.', 'while cruz went on to call kasich a spoiler the ohio governor agreed with him on one point front runner donald trump was not entitled to the nomination if he failed to reach a simple majority of 1 237 delegates.', 'one time i made an 83 on my math test and i did better than everybody else and i asked the teacher how come i don t have an a ?', 'kasich said.', 'the teacher said an a is 90.', 'i said oh i get it.', 'say he gets in there with 1 100 go get the rest of em.', 'citing his work in ohio to calm tensions after a police shooting in cleveland kasich said he d advanced past his bombast years where i was pounding on everybody.', 'he boasted of ohios fracking boom but emphasized that the state had probably the most regulation of the natural gas industry in the country.', 'somebody probably walked up to me on the floor and said how bout putting your name on this ?', 'at other points kasich vigorously defended his record.', 'kasich said.', 'referring to the republicans who have stopped such proposals kasich said that they know thats just more votes in the democratic party.', 'he said.']"
166,"['it is every facet of a government that is no longer friendly to freedom and is working overtime to trample the constitution underfoot and render the citizenry powerless in the face of the governments power grabs corruption and abusive tactics""', 'other entity is listening in and tracking your behavior""', 'roving tsa searches the american taxpayer will continue to get ripped off by government agencies in the dubious name of national security""', 'having been given the green light to probe poke pinch taser search seize strip and generally manhandle anyone they see fit in almost any circumstance all with the general blessing of the courts americas law enforcement officials no longer mere servants of the people entrusted with keeping the peace will continue to keep the masses corralled controlled and treated like suspects and enemies rather than citizens""', 'as lofgren concludes he deep state is soits ability to co opt resistanceit is almost impervious to change... if there is anything the deep state requires it is silent uninterrupted cash flowthings will go on as they have in the past""', 'it is even willing to tolerate a degree of gridlock partisan mud wrestling over cultural issues may be a useful distraction from its agenda""']","['we have operating within our government and political system... a well organized political action group in this country determined to destroy our constitution and establish a one party state....', 'the important point to remember about this group is not its ideology but its organization... it operates secretly silently continuously to transform our government....', 'a corporatized militarized entrenched bureaucracy that is fully operational and staffed by unelected officials who are in essence running the country this shadow government represents the hidden face of a government that has no respect for the freedom of its citizenry.', 'comprised of unelected government bureaucrats corporations contractors paper pushers and button pushers who are actually calling the shots behind the scenes this government within a government is the real reason we the people have no real control over our government.', 'it is the private sector with its 854 000 contract personnel with top secret clearances a number greater than that of top secret cleared civilian employees of the government.', 'it is what former congressional staffer mike lofgren refers to as a hybrid of national security and law enforcement agencies the department of defense the state department homeland security the cia the justice department the treasury the executive office of the president via the national security council the foreign intelligence surveillance court a handful of vital federal trial courts and members of the defense and intelligence committees.', 'coupled with the nations growing network of real time surveillance cameras and facial recognition software soon there really will be nowhere to run and nowhere to hide.', 'one of the greatest culprits when it comes to swindling taxpayers has been the transportation security administration with its questionable deployment of and complete mismanagement of millions of dollars worth of airport full body x ray scanners punitive patdowns by tsa agents and thefts of travelers valuables.', 'considered essential to national security tsa programs will continue in airports and at transportation hubs around the country.', 'usa patriot act ndaa americas so called war on terror which it has relentlessly pursued since 9/11 will continue to chip away at our freedoms unravel our constitution and transform our nation into a battlefield thanks in large part to such subversive legislation as the usa patriot act and national defense authorization act.', 'militarized police state thanks to federal grant programs allowing the pentagon to transfer surplus military supplies and weapons to local law enforcement agencies without charge police forces will continue to be transformed from peace officers into heavily armed extensions of the military complete with jackboots helmets shields batons pepper spray stun guns assault rifles body armor miniature tanks and weaponized drones.', 'swat team raids with more than 80 000 swat team raids carried out every year on unsuspecting americans by local police for relatively routine police matters and federal agencies laying claim to their own law enforcement divisions the incidence of botched raids and related casualties will continue to rise.', 'nationwide swat teams will continue to be employed to address an astonishingly trivial array of criminal activity or mere community nuisances including angry dogs domestic disputes improper paperwork filed by an orchid farmer and misdemeanor marijuana possession.', 'as mandated by congress there will be 30 000 drones crisscrossing the skies of america by 2020 all part of an industry that could not be worth as much as 30 dollars billion per year.', 'these machines which will be equipped with weapons will be able to record all activities using video feeds heat sensors and radar.', 'an inspector general report revealed that the dept. of justice has already spent nearly 4 dollars million on drones domestically largely for use by the fbi with grants for another over 1 million so police departments and nonprofits can acquire their own drones.', 'school to prison pipeline the paradigm of abject compliance to the state will continue to be taught by example in the schools through school lockdowns where police and drug sniffing dogs enter the classroom and zero tolerance policies that punish all offenses equally and result in young people being expelled for childish behavior.', 'the average american now unknowingly commits three felonies a day thanks to this overabundance of vague laws that render otherwise innocent activity illegal.', 'in exchange for corporations buying and managing public prisons across the country at a supposed savings to the states the states have to agree to maintain a 90percent occupancy rate in the privately run prisons for at least 20 years.', 'endless wars americas expanding military empire will continue to bleed the country dry at a rate of more than 15 dollars billion a month.', 'the pentagon spends more on war than all 50 states combined spend on health education welfare and safety.', 'yet what most americans fail to recognize is that these ongoing wars have little to do with keeping the country safe and everything to do with enriching the military industrial complex at taxpayer expense.', 'as lofgren reveals this state within a state concealed behind the one that is visible at either end of pennsylvania avenue is a hybrid entity of public and private institutions ruling the country according to consistent patterns in season and out connected to but only intermittently controlled by the visible state whose leaders we choose.', 'so the next time you find yourselves despondent over the 2016 presidential candidates remember that it is just a puppet show intended to distract you from the silent coup being carried out by americas shadow government.', 'his new book battlefield america the war on the american people is available online at.']"
167,"['be predisposed to obesity and diabetes""', 'they can prevent and maybe even reverse obesity""', 'these discrepancies aren t necessarily responsible for obesitythere is a cause and effect relationshipobesity may be preventative""', 'for instance rob knight of the university of colorado boulder and maria gloria dominguez bello of n.y.u.when newborns traverse the birth canal they ingest bacteria that helps them to digest milk""', 'and babies raised on formula do not get substancesboth allow beneficial bacteria to thrive and prevent unhealthy ones from doing likewise""']","['and through their efforts they have now discovered that our gut plays a crucial role in weight management.', 'new evidence suggests that gut bacteria alter the way we store fat how we balance levels of glucose in the blood and how we respond to hormones that make us feel hungry or full.', 'thankfully researchers are starting to find the differences between the wrong and the right ones and what factors determine those differences.', 'understanding the importance of microbes while researchers have long known about microorganisms in the human body only in the past decade did they come to understand that they outnumber our own cells 10 to 1.', 'and rapid general sequencing techniques have discovered that the biggest and most diverse of the bunch live in the large intestine and mouth.', 'the genes of these microbes collectively called the microbiome have been diligently studied researchers pinpointing their census and now the kind of jobs they perform.', 'advertisement learn more it was first thought that gut microbes might play a role in obesity from studies comparing intestinal bacteria in obese and lean individuals.', 'researchers found that the gut community in lean people was very diverse and they tended to have a wider variety of bacteroidetes which are a large tribe of microbes that work to break down bulky plant starches and fibers into smaller molecules in order for the body to use them as a source of energy.', 'but obese people proved to have a much less diverse community.', 'how diet plays a role jeffrey gordon of washington university in st. louis and his team of researchers came to the conclusion that highly processed foods have been linked to a less diverse gut community in people by feeding humanized mice a specially prepared unhealthy chow high in fat and low in fruits vegetables and fiber.', 'the researchers found that the unhealthy diet kept the bacteria from moving in and flourishing.', 'studies have also found how diet can harm our gut bacteria and predispose us to obesity from the day we are born as well showing that both formula fed babies and infants delivered by cesarean section have a higher risk for obesity and diabetes than breast fed babies or those delivered vaginally.', 'a canadian study even concluded that a major reason for babies being more susceptible to allergies asthma eczema and celiac disease as well as obesity may be due to them being fed formula instead of being breast fed.', 'antibiotics may also play a role in obesity with research finding that young mice given low doses of antibiotics develop about 15 percent more body fat than mice that are not given such drugs.', 'if you have a fire in a forest that is new you get extinction.', 'whats next scientists hope the work they are doing on understanding the microbiome will introduce a new generation of tools to treat and prevent obesity but with so much research still to be done and so many questions to answer time will only tell what will come of these various studies connecting the dots between the gut and weight.', 'data from human studies are a lot messier than the mouse data explains claire fraser of the university of maryland who is studying the connection of obesity and gut microbes in the old order amish population.']"
168,"['the concept of evolution should not be limited to the scientific assertions around darwins theory of natural selection but ought to include the more general idea that people and processes constantly evolve in response to the forces that surround them""', 'is a strict originalist or sees the constitution as a living document that must be responsive to changing conditions""', 'against them even the determination not to evolve has evolutionary effects""', 'story is beginning to seep into collective consciousness in a way that may yet render obsolete divisions such as those between shia and sunni let alone between radical islamic fundamentalism""', 'it is notfundamentalism in whatever form has often found the evolutionaryit implies a challenging dynamic of change that feels insecure""', 'for many believers to generalize unfairly religion provides behavioral rules that can be a source of security and comfort even as they are used as excuses to remain exclusive and resist evolving""', 'within each world religion there are minority enclaves who understand that their spiritual discipline is an opportunity to evolve toward inclusivity toward looking within at fears and projections rather than looking outward for enemies and toward expanding our identifications and responsibilities beyond the national to the planetary""', 'unfortunately negative and harmful processes can also become subject to an evolutionary juggernaut""', 'confident experts is too complex not to be subject to breakdown at any moment perhaps by accident perhaps where nato and russia push up against each other in eastern europe perhaps in kashmir""', 'they have in common the possibility of annihilation our shared anxiety can energize evolution toward inclusivity and nonviolent solutions to conflict""']","['no founding father composing the second amendment could not have foreseen the surfeit of guns decimating our country today.', 'take the tortured but necessary demise of the american coal industry.', 'no one wants to see the debilitating effects of unemployment on real people with real families but so far the technology of coal burning hasn t evolved a way not to accelerate global warming.', 'entrepreneurs are rapidly bringing to market solar wind and other cleaner and more sustainable energy sources.', 'since 1945 weapons systems have evolved to a level of complexity and destructive power that we are already powerless to control.', 'or won t until we embrace a new way of thinking that we must evolve to survive.', 'we we the nations are hopelessly complacent in our present reliance upon deterrence as a workable security system.', 'if this threat isn t enough to accelerate the ecumenical impulse what is ?', 'as we treat others so we will be treated.', 'will the arms manufacturers and the politicians in league with them evolve in the face of the nuclear threat in a way similar to our positive responses to the challenge of climate instability ?']"
169,"['it is complicated and could not present political problems because he has been affiliated with a broad range of industries and businesses""', 'academic partnerships stood out in bushs business""', 'the governor might be looking for opportunities in the private sector""', 'whether to do business with a contractor such as academic parternships remains a subject of great debate for university administrators""', 'the additional tuition received by schools is revenue they would never have otherwise""']","['former florida governor jeb bush moving closer to a possible presidential run has resigned all of his corporate and nonprofit board memberships including with his own education foundation his office said late wednesday night.', 'the aide said the resignations had been made effective today.', 'the aide said bush was reviewing other businesses in which he is principal partner or owner such as jeb bush & associates a consulting firm and britton hill partnership a business advisory group that in 2013 set up private equity funds investing in energy and aviation.', 'aides said bush wants to devote his time to exploring a return to politics rather than pursuing his business commitments.', 'bushs financial stake in academic partnerships the online education firm has been relatively small for a millionaire a 60000 dollars a year fee and ownership of a small amount of stock said randy best the companys founder and chief executive.', 'even so bushs affiliation with the firm which has contracts with schools in a half dozen states and several foreign countries and has annual sales of 100 dollars million could not complicate his effort to promote his record as an education reformer.', 'the company receives up to 70 percent of the tuition some students pay to public universities and some faculty members say it siphons money from the schools while asserting too much control over academic decisions.', 'best a texas entrepreneur and major political donor said his firm has increased professors access to online students and helped schools attract additional revenue while bush aides say the former governor does not have business interests related to k 12 education which has been his policy focus.', 'bush said the 2012 nominee allowed himself to be pulled off message and should have told voters i m a problem solver.', 'of his own business record bush said i m not ashamed.', 'taking risk and creating jobs is something we ought to have more of.', 'bushs business portfolio is far smaller than that of romney whose bain capital became one of the countrys most successful private equity firms.', 'bush announced last month that he was ending his consulting relationship with barclays the british investment banking conglomerate.', 'the new york times reported in may that the company paid bush more than 1 dollars million a year.', 'recent securities and exchange commission filings revealed that bush was leaving the boards of two publicly traded firms rayonier which invests in forest lands and tenet healthcare which backed obamas health insurance initiative and profited from its passage.', 'a march 14 sec report showed that bush held 59 403 shares of tenet stock valued at the time at just over 3 dollars million.', 'bushs reputation as an school reformer stems from his work on k 12 education as governor and as the head of his foundation for excellence in education.', 'the texas businessman had connections to the bush family having raised money for the successful presidential campaigns of bushs older brother george w. after the two men met best senator bush an e mail in april 2005 touting a huge global business opportunity that could not come from a post secondary initiative he said they had previously discussed.', 'he said he hoped bush found the idea intriguing.', 'if you are interested lets continue our discussions as you begin to think about returning to the private sector after you leave office best wrote in the e mail which was obtained by the post as part of a public records request.', 'bush responded that he had pledged to myself to focus on my job until it is complete.', 'having said that bush continued i think your vision is outstanding.', 'years later best said bush was drawn to the firm because he has long been intrigued by innovation in education particularly the goal of bringing down the cost of higher education while maintaining quality.', 'in his capacity as an adviser bush was available to run ideas by and discuss concepts as the firm expanded best said.', 'he said bush helped preside over two conferences on the future of education hosted by the firm.', 'bush and former north carolina governor jim hunt helped draw a high powered lineup of speakers including hillary rodham clinton the likely democratic presidential front runner who addressed a march meeting on global education.', 'a 2012 report by the texas tribune said the company received 105 dollars million in revenue from 24 public colleges and universities including eight in texas.', 'forbes magazine reported in 2013 that the company had contracts with 40 united states schools.', 'bush and best wrote a 2013 article for inside higher ed predicting that online classes would make higher education more accessible.', 'when the company arrived at arkansas state university in 2011 for instance faculty members were concerned about a loss of quality and control said jack zibluk a professor of media studies who headed the faculty senate at the time.', 'additional controversy erupted he said when some school officials involved in negotiations with the company later landed jobs with an affiliated firm.', 'i don t question whether firms like academic partnerships do quality work said barbara bichelmeyer who directs online education for the seven campuses of indiana university which has chosen not to outsource its online learning programs.', 'best said that academicians concerns about his company and online education generally have largely diminished.', 'it just increased their access to online students he said.', 'best said bush called his cellphone december 16 after announcing plans to explore a presidential bid to let him know that he planned to resign from the company.', 'best said he plans to support bushs candidacy.', 'he is the closest thing we have to a bipartisan candidate who takes principled stands on tough issues such as immigration and education best said.']"
170,"['new mexico is a blue state and has voted democrat for the past five elections""']",['don t let the media and their phony polls fool you.']
171,"['the american university law professor and harvard university faculty associate has grappled for months with whether donald trumps rhetoric constitutes dangerous speech as she has come to define it""', 'the audience has grievancesthe speaker can cultivate""', 'if he loses the election""', 'it is still a gray area that surrounds whether trump does use dangerous speech""', 'it is deeply irresponsible though since it can undermine some americans belief in our own democratic institutions which can make them more susceptible to dangerous speech going forward""']","['loading posted on this professor devotes her life to countering dangerous speech.', 'she can t ignore donald trump s. colby itkowitz washington post when susan benesch began looking at how speech could not incite mass violence her research took her to far flung places like kenya and burma.', 'lately shes been unable to ignore a case study at home in the united states.', 'she has examined election year speech before but only abroad where the risks of mass atrocities were great.', 'but in the past week with trump claiming that the election system and the media are rigged against him his messages have the type of undertone that increases the risk of violence between groups she said.', 'benesch 52 has dedicated the past six years of her life to developing and testing a framework for identifying dangerous speech.', 'a speech act that is clearly understood as a call to violence.', 'but when trump said his supporters could not use the second amendment against hillary clinton it seems to me impossible that people didn t understand that as a reference to violence she said.', 'or when he suggested that clinton and president obama were founders of the islamic state something he alluded to again at wednesdays final debate that was a hallmark of dangerous speech to describe an in group member as the enemy she said.', 'direct incitement of violence is illegal but trump falls short of actually calling for any kind of civil disobedience.', 'trump may well be undermining the extent to which his supporters trust the essential institutions and practices of united states democracy benesch said.', 'some of them those who are most susceptible to being inflamed by such messages may therefore be more likely to commit violence.']"
