ID,claim,evidence
153,[],['We Democrats have made steady progress creating jobs and improving our schools .']
154,[],['Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there .']
155,[],"['Whether you like to admit it or not , half our general revenue goes to education .']"
156,[],[]
157,[],[]
158,[],"['There are 31 other states and 10,000 other cities that have the same type of policies that we just passed , referring to North Carolinas House Bill 2 .']"
159,['Climate change is directly related to the growth of terrorism'],[]
160,[],[]
161,[],[]
162,[],['While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed .']
163,[],[]
164,[],['We have more illegal immigrants here than we did five years ago .']
165,[],['Says Rick Perry wrote a letter supporting Hillarycare .']
166,[],[]
167,[],"['The presidents health care proposals will cause most Americans to have their premiums increased , not decreased , and hundreds of millions of people lose their current insurance coverage .']"
168,[],['Mexican immigrants are more lawabiding than United States citizens and that is a statistic .']
169,[],['Says Chris Christie vetoed a jobs package of 30 bills .']
170,[],[]
171,[],[]
172,[],[]
173,[],"[""Romney failed to take action against ' sanctuary cities ' in Massachusetts .""]"
174,[],"['Says New Jersey is down nearly 200,000 jobs from its prerecession peak and with Governor Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months .']"
175,[],[]
176,[],['We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history .']
177,[],[]
178,[],[]
179,[],['Says judges get better benefits at a lower cost than everybody else in the state .']
180,[],[]
181,[],[]
182,[],[]
183,[],"['Over 12,000 school kids were arrested in Florida .']"
184,[],['If Texas were a country our economy would rank # 10 ... in the WORLD .']
185,[],[]
186,[],"['Payday lenders profit from the poor by charging 1,000 plus percent interest .']"
187,[],"['Without anything being done , it would function well into 2038 ; and even after that time with no changes , we could pay 80 percent of the benefits that people have earned .']"
188,[],['It is a commitment voters take very seriously : The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday .']
189,[],[]
190,[],[]
191,[],[]
192,[],"['Says that in a hearing , Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods , like stabbing or clubbing enemy forces in order to minimize the carbon output .']"
193,[],[]
194,[],"['In Texas , the No. 1 name for new male babies many of whom will vote one day is Jose .']"
195,[],['Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people .']
196,[],"[""Under the Cash for Clunkers program , all we 've got to do is ... go to a local junkyard , all you 've got to do is tow it to your house ."", ""And you 're going to get $ 4,500 .""]"
197,['Not one Republican has the gutsclimate change is real'],[]
198,[],"['While our people work longer hours for lower wages , almost all new income goes to the top 1 percent .']"
199,[],[]
200,[],[]
201,[],"['In the past year , more than 20 percent of Americans have changed their mind about the war in Afghanistan .', ""They conclude we should n't be there .""]"
202,[],[]
203,[],[]
204,[],['Says Obama health reform law denies millions access to affordable insurance .']
205,[],[]
206,[],[]
207,[],['Says Rick Scott called education not a core function of the state .']
208,[],"['The Family Research Council , according to some government agencies , is a terrorist group .']"
209,[],[]
210,[],['Says that in the 1985 election former Governor Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history .']
211,[],[]
212,[],['You ... said that Barack Obama was not ready to be commander in chief .']
213,[],[]
214,[],['Milwaukee Mayor Tom Barrett has held the line on property taxes .']
215,[],['Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $ 200 .']
216,[],"['Unlike the gridlock in Washington , more than 80 percent of the bills we passed during this General Assembly had bipartisan support .']"
217,[],[]
218,[],"['Rick Scott took $ 200,000 from a family that leased land for drilling and now he is trying to hide from it .']"
219,[],[]
220,[],"['At the beginning of the last decade ... America had a budget surplus of over $ 200 billion .', 'By the time I took office , we had a oneyear deficit of over $ 1 trillion and projected deficits of $ 8 trillion over the next decade .']"
221,[],"['The president has had 1,540 of his nominations confirmed , only four defeated .']"
222,[],[]
223,[],[]
224,[],[]
225,[],"[""Democratic presidents ' have been considerably more effective at creating privatesector jobs . '""]"
226,[],"[""He wanted to partition Iraq . '""]"
227,[],['Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed .']
228,[],"['One percent of the American people make over 21 percent of all the income in America .', 'That wasnt the way before George Bush became president .']"
229,[],"[""Military ' recruiting went on at Harvard every single day throughout the time Kagan was there . '""]"
230,[],[]
231,[],"['Says David Perdue wants to abolish the United States Department of Education , which would cost Georgia schools $ 1 billion a year and eliminate millions in student loans .']"
232,[],[]
233,[],['High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court .']
234,[],[]
235,[],[]
236,[],"['... Over 30 years , federal spending on education has grown by 375 percent , but test scores remain flat .']"
237,[],[]
238,[],[]
239,[],[]
240,[],['Providences port is 200 miles closer to Europe than any other Eastern port .']
241,[],['Says you need a photo ID to purchase Sudafed in Texas .']
242,[],['Twenty percent of housing in Portlands Pearl District is affordable .']
243,[],[]
244,[],['Hillary Clinton supported NAFTA and permanent China trade .']
245,[],['Numerous studies have shown that these socalled righttowork laws do not generate jobs and economic growth .']
246,[],"[""Obama 's budget plan would take national debt up to about 80 percent of gross national product ."", ""... Historically , it 's been about 40 percent .""]"
247,[],"['Says Hillary Clinton said the Veterans Affairs scandal is overexaggerated .', 'She said she was satisfied with what was going on .']"
248,[],['We now have driven health care costs down to the lowest theyve been in 50 years .']
249,[],"[""President Barack Obama 's ' initial response when we heard about the Christmas underwear bomber ' was to say that ' this was the act of an isolated extremist . '""]"
250,[],"['Says Sen. Sherrod Brown admitted that his $ 787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes , he now claims that his stimulus bill didnt do enough to lower taxes .']"
251,[],"[""In the 1950s , ' A lot of people got rich and they had to pay a top tax rate of 90 percent . '""]"
252,[],[]
253,[],"[""Sixtyfive percent of the Iraqi people now say it 's okay to shoot an American soldier .""]"
254,[],['Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional .']
255,[],[]
256,[],[]
257,[],['Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill .']
258,[],['A precinct in the Allen WestPatrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted !!!!!']
259,[],"['About 230,000 people that were on unemployment when I took office are not on unemployment now .']"
260,[],[]
261,[],[]
262,[],['Local law enforcement ... will have access to the [ Obamacare ] Data Hubs treasure trove of personal info .']
263,[],"['During his tenure as mayor , he saw Houstons crime rates drop to the lowest levels in more than 25 years .']"
264,[],['Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro .']
265,[],"[""John McCain , ' one of the richest people in a Senate filled with millionaires , ' says the solution to the housing crisis is for people to get a ' second job ' and ' skip their vacations . '""]"
266,[],[]
267,[],"['Hypocrisy at the Clinton Foundation : Top male staff made on average $ 218,029 while top female staff made $ 153,014 from 20102014 .']"
268,[],"['Since the federal Violence Against Women Act was adopted in 1994 , cases of domestic violence have fallen by 67 percent .']"
269,[],[]
270,[],['On legalizing illegal immigrants .']
271,[],[]
272,[],"[""We are ' borrowing Saudi money for Saudi oil ' with the result being ' dependency and debt . '""]"
273,[],"['Says there are homes for sale on and around Oswego Lake right now for under $ 150,000 that anyone is welcome to buy .']"
274,[],[]
275,[],[]
276,[],[]
277,[],['Chris Christie has not increased the taxes on anyone .']
278,[],[]
279,[],['Says he never said he would keep education funding the same .']
280,[],[]
281,[],"['Says Sen. Rob Portman said , It would be irresponsible not to cut Medicare .']"
282,[],[]
283,[],['Palin supported rightwing extremist Pat Buchanan for president in 2000 .']
284,[],['Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes .']
285,[],[]
286,[],"['Washington , D.C. , had some of the strictest gun laws in the country .', 'And when they passed them , violence skyrocketed .']"
287,[],['Seven presidents before Barack Obama Republicans and Democrats tried to expand health care to all Americans .']
288,['fighting a move to toughen penalties for workplace gender discrimination'],[]
289,[],"['If you put the $ 47 billion in revenue raised over 10 years by the Buffett rule into infrastructure you could create 611,000 infrastructure jobs .']"
290,[],[]
291,[],['I have repeatedly said that many of the predatory loans that were made in the mortgage system did target AfricanAmerican and Latino communities .']
292,[],"['Starting in December 2007 , 1.4 million jobs were created in Texas .', 'In that same period , the rest of the country lost 400,000 jobs .']"
293,[],[]
294,[],"['The CBO , the Congressional Budget Office has said that Obamacare will kill 800,000 jobs .']"
295,[],"[""Thompson ' voted against $ 250,000 caps on damages and almost anything that would make our legal system fairer . '""]"
296,[],['Texas this fiscal year will have more money in reserve than the other 49 states combined .']
297,[],['On using the Strategic Petroleum Reserve .']
298,[],[]
299,[],"[""The proposed education changes ' will not cut one teacher 's pay . '""]"
300,[],['The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006 .']
301,[],['Firearms homicides are down about 40 percent since Texas passed concealedgun permit law .']
302,[],[]
303,[],['We spend less on defense today aspercent of GDP than at any time since Pearl Harbor .']
304,[],"[""If you got rid of the income tax today you 'd have about as much revenue as we had 10 years ago .""]"
305,[],[]
306,[],['Jason Kander supports [ Obamas ] plan to bring the remaining suspected terrorists to United States soil .']
307,[],"['Shelby County donated Im sorry , gave 44 schools to the city of Memphis .']"
308,[],"['Top United States intelligence officials have toldevery member of Congress , including the president , were about to be attacked in a serious way because of the threat emanating from Syria and Iraq .']"
309,[],['Absolutely not .']
310,[],"['In July 1996 , Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital .']"
311,[],[]
312,[],['The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it .']
313,[],[]
314,[],[]
315,[],[]
316,[],"['Nobody has played clips over and over ... of President Obama saying , If they bring a knife to the fight , well bring a gun .']"
317,[],[]
318,[],[]
319,[],[]
320,[],"['1/3 of our kids drop out of high school , can not go to college or start a career .']"
321,[],[]
322,[],[]
323,[],"['You cant get on an airplane , but more than 2,000 people on that list have been able to buy a gun .']"
324,[],[]
325,[],"['For every $ 1 spent on afterschool programs , we can save over $ 5 , almost $ 6 , in crime costs down the line .']"
326,[],"['The federal government has $ 3 trillion in cash flow , so we can pay our bills and wont default .']"
327,[],[]
328,[],['Over 40 percent of small and midsize banks that loan money to small businesses have been wiped out since DoddFrank has passed .']
329,[],[]
330,[],[]
331,[],['Atmospheric conditions could push a footballs pressure down approximately oneandahalf pounds per square inch .']
332,[],[]
333,[],[]
334,[],"['We went from losing 3 million jobs in the last six months of the Bush Administration , adding almost 600,000 private sector jobs in the first six months of the year .']"
335,[],[]
336,[],[]
337,[],[]
338,[],"['Every year , more than $ 40 million are leaving Missouri for the Lone Star State .']"
339,[],['A college loan is the only loan in the United States that you can not refinance when interest rates go down .']
340,[],[]
341,[],[]
342,[],['Recent international reports show the United States near the bottom among industrialized nations for k12 academic achievement .']
343,[],"['Says 24 million people in this country cant find a fulltime job , 50 million cant see a doctor when theyre sick , 47 million people need government help to feed themselves and 15 million families owe more than the value of their home .']"
344,[],"['The policy mistakes that ... the Clintons made got us , in large degree , to the situation that we are in today with mass incarceration .']"
345,[],['Says he raised average family income by 50 percent during his tenure as Arkansas governor .']
346,[],['They tried to give us $ 400 million to build a highspeed train that goes 39 miles an hour .']
347,[],[]
348,[],['President Reagan did it raised the debt ceiling 18 times .']
349,[],"['According to David Cay Johnston , the average American pays about 22 percent of their income to federal taxes .', 'The richest 400 Americans pay about 16 percent of their income to federal taxes .']"
350,[],[]
351,[],"['In 1952 , the corporate income tax accounted for 33 percent of all federal tax revenue .', 'Today , despite recordbreaking profits , corporate taxes bring in less than 9 percent .']"
352,[],"['Over the last 10 years , Texas created 33 percent of the net new jobs nationwide .']"
353,[],[]
354,[],"['In the class of 1968 at Patrice Lumumba University in Moscow , Mahmoud Abbas was one of the members of that class , and so was Ali Khamenei .']"
355,[],"['Last week the Texas State Board of Education SBOE , led by Rick Perrys appointee , voted to remove Thomas Jefferson from social studies textbook standards .', 'Thomas Jefferson ... was deleted from a list of historical figures who inspired political change .']"
356,[],"['As a United States senator with salary and perks , # Bernie is in the top 1 percent , but still paid only 13 percent in taxes last year .']"
357,[],"[""You know we ca n't just pull out now ... The truth of the matter is : If we started today , it would take one year , one year to get 160,000 troops physically out of Iraq , logistically .""]"
358,[],"['From 20132015 , the richest 14 Americans increased their net wealth by more than $ 157 billion , yet the Republican budget would not require these Americans to contribute one penny to deficit reduction .']"
359,[],"['Says that while Foster was mayor , Rick Kriseman was ineffective in the Florida House of Representatives because there was no legislation that passed the House that had Krisemans name on it .']"
360,[],[]
361,[],[]
362,[],[]
363,[],['Clackamas County Commissioners approved a renegotiated agreement to lower the countys contribution to TriMets PortlandMilwaukie Light Rail project to $ 19.9 million from $ 25 million .']
364,[],['Says Texas has 11 different felonies you can commit with an oyster .']
365,[],[]
366,[],"['Electric car sales in Georgia have dropped dramatically since a $ 5,000 tax credit was eliminated and a $ 200 annual registration fee was imposed July 1 .']"
367,[],['The Redskins Training Camp deal generated $ 40 million in new private investment in the city .']
368,[],[]
369,[],[]
370,[],[]
371,[],[]
372,[],[]
373,[],"['Shes voted for 60 tax increases , hurting the middle class and small businesses .']"
374,[],"['Now , in the House of Representatives , we have 40 different jobs bills that have passed and almost all of them have been bipartisan .']"
375,[],"['Sheila Jackson Lee of Texas said : Hey , all you wrinkly , whiteaged hasbeens : Its time for you to die and let the next generation have your spot on the planet .']"
376,[],"['Republican small business tax cut bill spends $ 80 million for better Google searches , not job creation']"
377,[],[]
378,[],[]
379,[],[]
380,[],"['Since Republicans took over after the 2010 election , the graduation rate in Wisconsin has gone from 86 percent to 88 percent .', 'The black graduation rate has gone from 60 percent to 65 percent .', 'The Latino graduation rate has gone from 65 percent to 71 percent .']"
381,[],"['It has been estimated that nearly 40 percent of all guns sold in America are sold by private , unlicensed sellers either online or through gun shows .']"
382,[],['2008 was the deadliest year of the war in Afghanistan for American forces .']
383,[],"[""Florida teachers are ' already paid $ 5,000 below the national average . '""]"
384,[],"['Since Rick Perry became governor , Texas has gone from 46th in the country to 50th in the population that graduates from high school .']"
385,[],['Says Amanda Fritz manages less than 5 percent of city operations .']
386,[],[]
387,[],"['Americans , in the last 30 years , have more than doubled the amount of money we are spending per child on education and the results have gotten worse , not better .']"
388,[],['Polls show that Floridians dont want to repeal the Affordable Care Act .']
389,[],['Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act .']
390,[],[]
391,[],[]
392,[],[]
393,[],"['Under a proposed medical marijuana amendment in Florida , you dont get refills you get it forever .']"
394,[],"[""A datastoring microchip ' would be implanted in the majority of people who opt to become covered by the public health care option . '""]"
395,[],"['Enacting the RighttoCarry Act would amount to expanding the rights of sex offenders , terrorists , child predators , and abusers to carry concealed weapons across state lines .']"
396,[],[]
397,[],[]
398,[],['Says Georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools .']
399,[],['Jorge Elorza wants to impose a municipal income tax .']
400,[],['The Supreme Court cant overrule the other two branchesof government .']
401,[],[]
402,[],"['Nathan Deal cut the HOPE scholarship program so that literally 100,000 Georgians will not be able to go to college or get technical training that they so badly needed to raise you know , give them a chance at a good job .']"
403,[],"['As governor of Arkansas , I cut taxes and fees almost 100 times , saving the taxpayers almost $ 380million .', 'I left a surplus of nearly $ 850million .']"
404,[],['I havent raised taxes in the time Ive been the governor of New Jersey .']
405,[],[]
406,[],[]
407,[],['We are accepting more legal immigrants than we ever have in the history of the United States .']
408,[],['Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure .']
409,[],[]
410,[],[]
411,[],[]
412,[],"[""Hillary Clinton ' starts off with 47 percent of the country against her . '""]"
413,[],['SaysRand Paulhas put out budgets to cut the military in half .']
414,[],[]
415,[],['Says legislative cuts mean Texas is spending on average $ 500 less per student .']
416,[],[]
417,[],['We know that Saudi Arabia started alQaida .']
418,[],[]
419,[],[]
420,[],[]
421,[],[]
422,[],[]
423,[],"[""Obama voted ' to cut off funding for our American troops on the battlefield . '""]"
424,[],[]
425,[],"['The socalled defense minister of the Peoples Republic of Donetsk ... actually posted a bragging social media posting of having shot down a military transport .', 'And then when it became apparent it was civilian , they pulled it down from social media .']"
426,[],"[""It looks like they 're going to raise taxes anywhere between 20 to 30 percent .""]"
427,[],['Right now one of our highest job growth sectors is Leisure and Hospitality .']
428,[],"['Governor Scott Walker bought 80 new , brandnew vehicles for the state that we probably dont need .']"
429,[],"['Says he passed eight measures , including ones to prevent groping at airport security checks and to bar sanctuary cities in Texas .']"
430,[],[]
431,[],[]
432,[],[]
433,[],"['Before our last three presidents , you have to go back to the 1800s , early 1800s to find three presidents in a row being consecutively reelected .']"
434,[],[]
435,[],"['The most recent Associated Press poll has NaderGonzalez at 6 percent , without any national coverage , against McCain and Obama .']"
436,[],[]
437,[],"['Weve got an average of 5,600 soldiers committing suicide .', 'Thats about 20 a day .']"
438,[],"['There have even been Republican congressmen who have said , If you give us more money we dont know where we would even put additional Border Patrol agents .']"
439,[],"['Today , for the first time in fifteen years , Master Locks unionized plant in Milwaukee is running at full capacity .']"
440,[],[]
441,[],[]
442,[],['New federal projections estimate that the health care overhaul will cost $ 1.76 trillion over 10 years well above the $ 940 billion Democrats originally claimed .']
443,[],[]
444,[],[]
445,[],[]
446,[],[]
447,[],[]
448,[],['What the Arizona law does is make a state crime out of something that already is ... a federal crime .']
449,[],"['When the country was founded , Congress had exactly the same attitude about the sanctity of Christmas celebrations that a 7Eleven does today : Yeah , were open .']"
450,[],"['In MiamiDade County , we spend at our school system over $ 20 million every year educating recent immigrants .']"
451,[],[]
452,[],['Trump proposed enacting the largest tax increase in American history .']
453,[],"[""Senator McCain has been talking tough about earmarks , and that 's good , but earmarks account for about $ 18billion of our budget .""]"
454,[],"['Kim Myers voted repeatedly to raise taxes on the people of Broome County , but made millions off of tax savings when her family business relocated its headquarters .']"
455,[],[]
456,[],['We pay among the highest tolls in the nation for the privilege of crossing that bridge .']
457,[],"['Sens. Isaksons , Chambliss Votes Against Unemployment Insurance Were Votes to Kill Nearly 6,000 Georgia Jobs .']"
458,[],[]
459,[],[]
460,[],[]
461,[],['John Mica voted to borrow $ 10 trillion .']
462,[],[]
463,[],"[""McCain ' hired some of the biggest lobbyists in Washington to run his campaign . '""]"
464,[],['We do not want to raise anybodys tax rates .']
465,[],"['When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan , the Democrats didnt make that a partisan issue .']"
466,[],[]
467,[],[]
468,[],['House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling .']
469,[],['Says no one from the Bush family attended the 2012 Republican National Convention and there was no President Bush at the 2008 convention .']
470,[],[]
471,[],"['Flint , Mich. , is paying three times more for poison water than I am paying in Burlington , Vt. , for clean water .']"
472,[],['Weve got a personal tax system thats so complicated it costs Americans about $ 500 billion a year to comply with the current tax code .']
473,[],"['Says a Portland school gives Muslim students their own school provided prayer room , prayer rugs , and lets them out of class five times a day to pray to Allah .']"
474,[],"['Texas Republicans believe in abolishing Social Security , abolishing V.A. health care .']"
475,[],['The bulk of the people who are shot with a weapon other than these drug gangs taking on one another end up being shot with their own weapon .']
476,[],[]
477,[],[]
478,[],[]
479,[],"['When President , then candidate , Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign , they refused to do it .']"
480,[],[]
481,[],['Hes like the only one who hasnt found a billionaire to fund his super PAC .']
482,[],"['Says Donald Trump cashed in on Sept. 11 , collecting $ 150,000 in federal funds intended to help small businesses recover even though days after the attack Trump said his properties were not affected .']"
483,[],"['Three years ago , a newly elected President Obama told America that if Congress approved his plan to borrow nearly a trillion dollars , he would hold unemployment below 8 percent .']"
484,[],[]
485,[],['The Mitchell Park Domes lose about $ 1 millionplus every year and the number of people going to the Domes has been going down .']
486,[],[]
